cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster20
root	0.08	0.11	0.33	0.05	0.19	0.03	0.07	0.33	0.1	0.07	0.05	0.03	0.03	0.59	0.02	0.08	0.07	0.24	0.1	0.01
cluster1	0	0.14	0	0	0	0.13	0	0	0	0	0.09	0	0	0	0	0.07	0	0	0.14	0
cluster2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cluster3	0.08	0.09	0	0.07	0.17	0.07	0.57	0.18	0.12	0.06	0.13	0.12	0.07	0.18	0.03	0.08	0.1	0.13	0.1	0.06
cluster4	0	0	0	0	0	0	0	0	0	0.11	0	0	0	0	0.05	0	0.11	0	0	0
cluster5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0
cluster6	0.17	0.11	0	0	0	0	0	0	0	0	0.19	0	0	0	0	0.11	0	0	0.18	0
cluster7	0.17	0.12	0	0.07	0	0.23	0	0	0.14	0.08	0.36	0.33	0.41	0	0.06	0.08	0.08	0	0.12	0.12
cluster8	0.07	0.1	0.31	0.04	0.22	0.06	0.14	0	0.13	0.11	0.03	0.17	0.13	0.22	0.05	0.08	0.08	0.33	0.09	0.06
cluster9	0	0	0	0.18	0	0	0	0	0	0.1	0	0	0	0	0.14	0.09	0.11	0	0	0
cluster10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cluster11	0.23	0.13	0	0	0	0.34	0	0	0	0	0	0	0	0	0	0.09	0	0	0.14	0
cluster12	0	0	0	0.06	0	0	0	0	0.15	0.1	0	0	0.29	0	0.08	0.08	0.07	0	0	0.49
cluster13	0	0	0	0.09	0	0	0	0	0.26	0.07	0	0.28	0	0	0.14	0.06	0.12	0	0	0.21
cluster14	0.12	0.08	0.36	0.06	0.21	0.09	0.22	0.49	0.1	0.07	0.12	0.06	0.06	0	0.03	0.09	0.06	0.23	0.13	0.03
cluster15	0	0	0	0.19	0	0	0	0	0	0.12	0	0	0	0	0	0	0.1	0	0	0
cluster16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cluster17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cluster18	0	0	0	0	0.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cluster19	0.08	0.12	0	0	0	0.04	0	0	0	0	0.03	0	0	0	0	0.09	0	0	0	0
cluster20	0	0	0	0.18	0	0	0	0	0	0.1	0	0	0	0	0.4	0	0.09	0	0	0
