cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10
root	0.74	0.27	0.03	0.07	0.1	0.03	0.02	0.11	0.15	0.18
cluster1	0	0.73	0.27	0.11	0.11	0.27	0.04	0.11	0.17	0.19
cluster2	0.26	0	0.7	0.07	0.1	0.69	0.06	0.12	0.15	0.17
cluster3	0	0	0	0.57	0.49	0	0	0.12	0.18	0
cluster4	0	0	0	0	0.2	0	0	0.13	0.17	0
cluster5	0	0	0	0.18	0	0	0	0.15	0.17	0
cluster6	0	0	0	0	0	0	0.88	0.13	0	0.26
cluster7	0	0	0	0	0	0.01	0	0.13	0	0.2
cluster8	0	0	0	0	0	0	0	0	0	0
cluster9	0	0	0	0	0	0	0	0	0	0
cluster10	0	0	0	0	0	0	0	0	0	0
