cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10
root	0.6	0.41	0.03	0.07	0.12	0.03	0.03	0.12	0.18	0.15
cluster1	0	0.59	0.4	0.13	0.11	0.38	0.05	0.1	0.16	0.2
cluster2	0.4	0	0.57	0.06	0.09	0.58	0.04	0.11	0.13	0.19
cluster3	0	0	0	0.56	0.51	0	0	0.14	0.19	0
cluster4	0	0	0	0	0.18	0	0	0.1	0.18	0
cluster5	0	0	0	0.18	0	0	0	0.13	0.17	0
cluster6	0	0	0	0	0	0	0.88	0.15	0	0.22
cluster7	0	0	0	0	0	0.02	0	0.15	0	0.22
cluster8	0	0	0	0	0	0	0	0	0	0
cluster9	0	0	0	0	0	0	0	0	0	0
cluster10	0	0	0	0	0	0	0	0	0	0
