cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10
root	0.65	0.36	0.03	0.08	0.1	0.03	0.03	0.12	0.15	0.19
cluster1	0	0.64	0.37	0.1	0.13	0.35	0.05	0.1	0.17	0.2
cluster2	0.35	0	0.6	0.07	0.11	0.61	0.05	0.11	0.15	0.18
cluster3	0	0	0	0.57	0.46	0	0	0.11	0.16	0
cluster4	0	0	0	0	0.2	0	0	0.14	0.17	0
cluster5	0	0	0	0.17	0	0	0	0.15	0.19	0
cluster6	0	0	0	0	0	0	0.87	0.13	0	0.21
cluster7	0	0	0	0	0	0.01	0	0.13	0	0.22
cluster8	0	0	0	0	0	0	0	0	0	0
cluster9	0	0	0	0	0	0	0	0	0	0
cluster10	0	0	0	0	0	0	0	0	0	0
